wfo_accepted_name,EIVEres-L,EIVEres-T,EIVEres-M,EIVEres-R,EIVEres-N,Species name standardized against TPL,Genus,Family,Woodiness,Growth Form,Leaf type,Leaf area (mm2),Nmass (mg/g),LMA (g/m2),Plant height (m),Diaspore mass (mg),SSD observed (mg/mm3),SSD combined (mg/mm3),SSD used (mg/mm3),Leaf area (n.o.),Nmass (n.o.),LMA (n.o.),Plant height (n.o.),Diaspore mass (n.o.),SSD (n.o.),ssd_imputed_used,min_records_6traits,Myco_Group_Final
Ambrosia psilostachya,8.67652625676641,5.66733701185089,3.10612145674216,7.383886295,5.5512557709675,Ambrosia psilostachya,Ambrosia,Compositae,non-woody,herbaceous non-graminoid,broadleaved,461.55,20.36165666,69.1759069,0.525378172,6.3926,0.278686743,0.278686743,0.278686743,21,7,22,29,12,6,0,6,NA
Ambrosia tenuifolia,9.38374788797928,5.51011328552915,1.77226819270253,NA,6.49124773356393,Ambrosia tenuifolia,Ambrosia,Compositae,non-woody,herbaceous non-graminoid,broadleaved,451.94,28.06665677,89.96576363,0.342744454,5.3,NA,0.21115,0.21115,3,3,5,2,2,NA,1,2,NA
Ambrosia trifida,8.39772983694261,5.45183419666929,3.47476460629196,6.66479498515864,7.0632241669731,Ambrosia trifida,Ambrosia,Compositae,non-woody,herbaceous non-graminoid,broadleaved,5202.03,44.1,45.68009834,1.067642561,11.1259,NA,0.192774588,0.192774588,10,3,17,20,17,NA,1,3,Pure_NM
Anaphalis margaritacea,7.4259722754218,4.52766957891616,3.80695566177964,5.66019563445977,4.35326183307757,Anaphalis margaritacea,Anaphalis,Compositae,non-woody,herbaceous non-graminoid,broadleaved,1465.02,17.76384616,69.51843045,0.633818409,0.0445,NA,0.251107208,0.251107208,11,5,11,15,14,NA,1,5,Pure_NM
Andromeda polifolia,8.34238811557568,2.94350141853316,7.06776625563185,0.662228405091579,0.745115157220673,Andromeda polifolia,Andromeda,Ericaceae,non-woody,herbaceous non-graminoid/shrub,needleleaved,39.87,14.47596461,134.4942942,0.195320494,0.1666,NA,0.31071,0.31071,16,19,33,35,14,NA,1,14,Pure_ERM
Androsace septentrionalis,8.01585443682596,4.2368729296879,2.63657218809768,5.25948361733039,2.81081252672449,Androsace septentrionalis,Androsace,Primulaceae,non-woody,herbaceous non-graminoid,broadleaved,17.96,19.49,41.56819084,0.046787589,0.1624,NA,0.176708783,0.176708783,24,4,24,35,9,NA,1,4,Facultative_AM_NM
Angelica archangelica,6.7919211785423,3.55528004969088,6.82855775072906,6.11728849813677,8.53167883280319,Angelica archangelica,Angelica,Apiaceae,non-woody,herbaceous non-graminoid,broadleaved,3006.4,30.22728117,53.86092147,1.213954084,4.087,NA,0.189958688,0.189958688,18,12,17,20,12,NA,1,12,Facultative_AM_NM
Angelica sylvestris,6.08880674224023,3.96517279502672,6.2624481274519,5.82698976446582,5.70210103018835,Angelica sylvestris,Angelica,Apiaceae,non-woody,herbaceous non-graminoid,broadleaved,5112.75,30.24855209,42.56117384,0.821214331,1.1522,NA,0.196897793,0.196897793,9,17,38,70,37,NA,1,9,Pure_AM
Antennaria dioica,7.6769867177852,2.8597573843071,3.5842039693338,3.44967531658421,2.20546600210744,Antennaria dioica,Antennaria,Compositae,non-woody,herbaceous non-graminoid,broadleaved,68.03,14.00082516,58.22917451,0.115299968,0.0466,NA,0.240382532,0.240382532,17,15,26,31,27,NA,1,15,Pure_AM
Anthemis arvensis,7.25706344807644,4.70299766785367,3.60410066204028,4.58851570417247,5.81862890862913,Anthemis arvensis,Anthemis,Compositae,non-woody,herbaceous non-graminoid,broadleaved,246.68,17.01,44.73229531,0.206763294,0.6049,0.374718,0.374718,0.374718,17,7,22,56,26,NA,0,7,Facultative_AM_NM
Anthemis cotula,7.26820139279831,4.99294388452134,3.7138304770438,6.12801930292869,6.08629293110542,Anthemis cotula,Anthemis,Compositae,non-woody,herbaceous non-graminoid,broadleaved,1919.84,32.73272666,53.66663853,0.426920522,0.4683,NA,0.183310229,0.183310229,7,5,10,47,17,NA,1,5,Pure_NM
Anthemis cretica,8.11140422817304,4.0312886140917,3.05343407998187,6.27144063899553,2.2138003294394,Anthemis cretica,Anthemis,Compositae,non-woody,herbaceous non-graminoid,broadleaved,154.76,24.44,71.63323782,0.25,0.69,NA,0.18495,0.18495,1,1,1,6,1,NA,1,1,Pure_NM
